"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"17.12.2025";"TG012027";"1g";"127,81";"";"24.12.2025";"133,00";"";"5,19";"18257"
"17.12.2025";"TG012027";"1g";"127,81";"";"27.12.2025";"153,95";"";"26,14";"18270"
"23.12.2025";"TG012028";"1g";"126,97";"";"31.12.2025";"155,85";"";"28,88";"18354"
"23.12.2025";"TG012028";"1g";"126,97";"";"30.12.2025";"155,85";"";"28,88";"18355"
"23.12.2025";"TG012028";"1g";"127,22";"";"01.01.2025";"155,85";"";"28,63";"18358"
"23.12.2025";"TG012028";"1g";"127,22";"";"10.01.2026";"155,85";"";"28,63";"18377"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"138,00";"";"10,78";"18385"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"160,80";"";"33,58";"18387"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"160,80";"";"33,58";"18388"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"160,80";"";"31,40";"18391"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"160,80";"";"31,40";"18392"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"157,85";"Porto durch zwei geteilt da zwei Artikel in dieser Bestellung";"28,45";"18395"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"157,85";"Porto durch zwei geteilt da zwei Artikel in dieser Bestellung";"28,45";"18395"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"160,80";"";"31,40";"18400"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
